6678 75384
389 12 -2.772588722239781
389 29 -2.772588722239781
389 34 -2.772588722239781
389 44 -2.772588722239781
389 51 -2.772588722239781
389 79 -2.772588722239781
389 84 -2.772588722239781
389 102 -2.772588722239781
389 125 -2.772588722239781
389 331 -2.772588722239781
389 639 -2.772588722239781
389 673 -2.079441541679836
389 906 -2.772588722239781
389 1454 -2.772588722239781
390 49 -2.564949357461537
390 56 -1.871802176901591
390 60 -1.466337068793427
390 86 -2.564949357461537
390 101 -1.871802176901591
390 110 -2.564949357461537
390 368 -2.564949357461537
390 380 -2.564949357461537
390 1878 -2.564949357461537
391 8 -2.197224577336220
391 12 -2.197224577336220
391 44 -2.197224577336220
391 206 -1.098612288668110
391 318 -1.098612288668110
392 2 -4.219507705176107
392 8 -2.610069792742006
392 12 -2.273597556120794
392 22 -4.219507705176107
392 24 -4.219507705176107
392 26 -4.219507705176107
392 29 -4.219507705176107
392 42 -3.526360524616162
392 44 -2.427748235948052
392 45 -4.219507705176107
392 47 -4.219507705176107
392 49 -3.120895416507997
392 51 -4.219507705176107
392 56 -4.219507705176107
392 62 -3.526360524616162
392 69 -3.120895416507997
392 72 -2.427748235948052
392 79 -4.219507705176107
392 86 -4.219507705176107
392 92 -4.219507705176107
392 97 -4.219507705176107
392 101 -3.526360524616162
392 110 -2.833213344056216
392 113 -3.526360524616162
392 119 -4.219507705176107
392 141 -4.219507705176107
392 300 -4.219507705176107
392 346 -4.219507705176107
392 349 -4.219507705176107
392 524 -4.219507705176107
392 653 -4.219507705176107
392 766 -4.219507705176107
392 859 -4.219507705176107
392 1948 -4.219507705176107
392 2295 -4.219507705176107
392 2642 -4.219507705176107
392 4677 -4.219507705176107
393 8 -0.847297860387204
393 97 -1.945910149055313
393 101 -1.945910149055313
393 242 -1.945910149055313
393 252 -1.945910149055313
394 89 -1.098612288668110
394 395 -1.098612288668110
394 2709 -1.098612288668110
395 2 -2.730029107820986
395 3 -3.828641396489095
395 8 -1.526056303495049
395 12 -2.219203484054995
395 22 -3.135494215929150
395 37 -3.135494215929150
395 42 -3.828641396489095
395 44 -3.828641396489095
395 51 -3.828641396489095
395 62 -2.730029107820986
395 69 -2.442347035369204
395 72 -3.135494215929150
395 79 -3.828641396489095
395 84 -3.828641396489095
395 154 -3.828641396489095
395 250 -3.828641396489095
395 271 -3.828641396489095
395 795 -3.828641396489095
395 1278 -3.828641396489095
395 1400 -3.828641396489095
395 1446 -3.828641396489095
395 2415 -3.828641396489095
395 2974 -3.828641396489095
396 397 0.000000000000000
397 206 0.000000000000000
398 69 0.000000000000000
399 8 -0.451985123743057
399 22 -2.397895272798371
399 44 -2.397895272798371
399 72 -2.397895272798371
399 89 -2.397895272798371
400 10 -0.753771802376380
400 12 -2.833213344056216
400 17 -2.833213344056216
400 59 -2.833213344056216
400 101 -2.833213344056216
400 141 -2.833213344056216
400 350 -2.140066163496271
400 489 -2.140066163496271
401 8 -2.484906649788000
401 10 -1.791759469228055
401 17 -2.484906649788000
401 56 -2.484906649788000
401 79 -2.484906649788000
401 92 -2.484906649788000
401 128 -2.484906649788000
401 160 -2.484906649788000
401 616 -2.484906649788000
401 1077 -2.484906649788000
401 1090 -2.484906649788000
402 22 0.000000000000000
403 8 -3.850147601710058
403 17 -3.157000421150113
403 29 -3.157000421150113
403 34 -3.850147601710058
403 56 -2.751535313041949
403 103 -3.157000421150113
403 132 -3.850147601710058
403 133 -3.850147601710058
403 160 -2.463853240590168
403 206 -2.058388132482003
403 235 -3.157000421150113
403 311 -3.850147601710058
403 318 -3.850147601710058
403 350 -1.652923024373839
403 370 -3.850147601710058
403 488 -3.850147601710058
403 489 -3.157000421150113
403 564 -3.850147601710058
403 635 -3.157000421150113
403 911 -3.850147601710058
403 939 -3.850147601710058
403 3627 -3.850147601710058
403 3930 -3.850147601710058
404 4 -3.178053830347946
404 8 -1.568615917913845
404 12 -2.079441541679836
404 22 -2.079441541679836
404 33 -3.178053830347946
404 44 -2.484906649788000
404 49 -3.178053830347946
404 176 -3.178053830347946
404 229 -3.178053830347946
404 331 -3.178053830347946
404 639 -3.178053830347946
404 824 -3.178053830347946
404 1788 -3.178053830347946
404 2405 -3.178053830347946
404 4260 -3.178053830347946
405 8 -1.466337068793427
405 12 -1.466337068793427
405 21 -2.564949357461537
405 26 -2.564949357461537
405 44 -1.871802176901591
405 69 -2.564949357461537
405 84 -2.564949357461537
405 122 -2.564949357461537
406 8 -1.386294361119891
406 56 -1.386294361119891
406 206 -1.386294361119891
406 489 -1.386294361119891
407 2 -2.140066163496271
407 8 -2.140066163496271
407 12 -2.833213344056216
407 22 -2.833213344056216
407 42 -2.140066163496271
407 44 -1.734601055388106
407 51 -2.833213344056216
407 56 -2.833213344056216
407 79 -2.833213344056216
407 257 -2.833213344056216
407 290 -2.833213344056216
407 6510 -2.833213344056216
408 2 -2.014903020542265
408 8 -0.628608659422374
408 12 -2.708050201102210
408 44 -2.014903020542265
408 49 -2.708050201102210
408 51 -2.708050201102210
409 96 0.000000000000000
410 59 -1.791759469228055
410 69 -1.791759469228055
410 235 -1.791759469228055
410 389 -1.791759469228055
410 869 -1.791759469228055
410 3976 -1.791759469228055
411 8 -0.693147180559945
411 90 -0.693147180559945
412 206 0.000000000000000
413 8 -1.098612288668110
413 12 -1.098612288668110
413 101 -1.098612288668110
414 92 0.000000000000000
415 416 0.000000000000000
416 8 -2.197224577336220
416 44 -2.197224577336220
416 79 -2.197224577336220
416 300 -0.587786664902119
416 2633 -2.197224577336220
417 8 -1.504077396776274
417 12 -1.098612288668110
417 22 -2.197224577336220
417 42 -2.197224577336220
417 110 -2.197224577336220
417 160 -2.197224577336220
418 12 -0.693147180559945
418 37 -0.693147180559945
419 54 0.000000000000000
420 8 -0.693147180559945
420 300 -0.693147180559945
421 8 -2.302585092994045
421 10 -1.203972804325936
421 17 -2.302585092994045
421 44 -1.609437912434100
421 49 -2.302585092994045
421 103 -2.302585092994045
421 318 -2.302585092994045
422 12 -2.564949357461537
422 56 -1.178654996341646
422 69 -1.871802176901591
422 79 -2.564949357461537
422 103 -2.564949357461537
422 113 -2.564949357461537
422 117 -2.564949357461537
422 141 -2.564949357461537
422 160 -2.564949357461537
423 87 -3.850147601710058
423 102 -2.463853240590168
423 142 -2.751535313041949
423 176 -3.850147601710058
423 312 -3.850147601710058
423 319 -3.157000421150113
423 385 -3.850147601710058
423 392 -3.850147601710058
423 455 -3.850147601710058
423 536 -3.850147601710058
423 596 -3.850147601710058
423 619 -3.850147601710058
423 647 -3.850147601710058
423 704 -3.850147601710058
423 736 -3.850147601710058
423 886 -3.850147601710058
423 902 -3.850147601710058
423 1030 -3.850147601710058
423 1088 -3.850147601710058
423 1466 -3.850147601710058
423 1505 -3.850147601710058
423 1513 -3.850147601710058
423 1551 -3.850147601710058
423 1719 -3.850147601710058
423 1793 -3.850147601710058
423 2459 -3.850147601710058
423 2477 -3.850147601710058
423 3087 -3.850147601710058
423 3266 -3.850147601710058
423 3885 -3.850147601710058
423 3935 -3.850147601710058
423 4165 -3.850147601710058
423 4261 -3.850147601710058
423 4646 -3.850147601710058
423 4994 -3.850147601710058
423 5492 -3.850147601710058
423 5500 -3.850147601710058
423 5506 -3.850147601710058
423 5708 -3.850147601710058
423 6019 -3.850147601710058
423 6645 -3.850147601710058
424 2 -3.465735902799727
424 8 -1.519825753744413
424 12 -2.772588722239781
424 13 -3.465735902799727
424 17 -3.465735902799727
424 26 -3.465735902799727
424 37 -2.079441541679836
424 42 -2.367123614131617
424 49 -1.673976433571672
424 56 -2.772588722239781
424 67 -3.465735902799727
424 113 -3.465735902799727
424 142 -3.465735902799727
424 368 -3.465735902799727
425 24 -3.850147601710058
425 26 -2.240709689275958
425 34 -3.157000421150113
425 37 -2.463853240590168
425 56 -2.240709689275958
425 73 -3.850147601710058
425 86 -3.850147601710058
425 103 -2.463853240590168
425 119 -3.157000421150113
425 141 -3.850147601710058
425 305 -3.157000421150113
425 368 -3.850147601710058
425 370 -3.850147601710058
425 452 -3.850147601710058
425 473 -3.850147601710058
425 596 -3.850147601710058
425 814 -3.850147601710058
425 832 -3.850147601710058
425 992 -3.850147601710058
425 1524 -3.850147601710058
425 1534 -3.850147601710058
425 1587 -3.850147601710058
425 2057 -3.850147601710058
425 2399 -3.850147601710058
425 3508 -3.850147601710058
425 3636 -3.850147601710058
425 4050 -3.850147601710058
425 4751 -3.850147601710058
425 4939 -3.850147601710058
425 5468 -3.850147601710058
426 49 0.000000000000000
427 8 -2.674148649426529
427 21 -3.367295829986474
427 44 -3.367295829986474
427 73 -3.367295829986474
427 83 -3.367295829986474
427 342 -3.367295829986474
427 428 -3.367295829986474
427 442 -3.367295829986474
427 630 -3.367295829986474
427 761 -3.367295829986474
427 906 -3.367295829986474
427 972 -3.367295829986474
427 1230 -3.367295829986474
427 1366 -3.367295829986474
427 1397 -3.367295829986474
427 1681 -3.367295829986474
427 1900 -3.367295829986474
427 1929 -3.367295829986474
427 1944 -3.367295829986474
427 2010 -3.367295829986474
427 2051 -3.367295829986474
427 2173 -3.367295829986474
427 2933 -3.367295829986474
427 3250 -3.367295829986474
427 3617 -3.367295829986474
427 3710 -3.367295829986474
427 3822 -3.367295829986474
427 5019 -3.367295829986474
428 79 0.000000000000000
429 430 0.000000000000000
430 49 0.000000000000000
431 12 -2.484906649788000
431 34 -2.484906649788000
431 37 -2.484906649788000
431 40 -1.791759469228055
431 44 -2.484906649788000
431 154 -2.484906649788000
431 237 -2.484906649788000
431 678 -2.484906649788000
431 1925 -2.484906649788000
431 3869 -2.484906649788000
431 6034 -2.484906649788000
432 8 -4.077537443905720
432 9 -3.384390263345774
432 16 -4.077537443905720
432 40 -4.077537443905720
432 49 -2.691243082785829
432 51 -4.077537443905720
432 56 -4.077537443905720
432 73 -4.077537443905720
432 84 -3.384390263345774
432 97 -3.384390263345774
432 120 -4.077537443905720
432 123 -4.077537443905720
432 130 -3.384390263345774
432 171 -4.077537443905720
432 188 -4.077537443905720
432 209 -4.077537443905720
432 250 -3.384390263345774
432 252 -4.077537443905720
432 290 -4.077537443905720
432 331 -4.077537443905720
432 379 -4.077537443905720
432 421 -4.077537443905720
432 433 -4.077537443905720
432 548 -4.077537443905720
432 628 -4.077537443905720
432 654 -4.077537443905720
432 678 -4.077537443905720
432 704 -4.077537443905720
432 783 -4.077537443905720
432 837 -4.077537443905720
432 915 -4.077537443905720
432 1095 -4.077537443905720
432 1266 -4.077537443905720
432 1534 -4.077537443905720
432 1628 -4.077537443905720
432 1659 -4.077537443905720
432 1817 -4.077537443905720
432 2048 -4.077537443905720
432 2194 -4.077537443905720
432 2506 -4.077537443905720
432 2533 -4.077537443905720
432 2593 -4.077537443905720
432 2606 -4.077537443905720
432 2669 -4.077537443905720
432 2941 -4.077537443905720
432 3549 -4.077537443905720
432 3671 -4.077537443905720
432 4844 -4.077537443905720
432 6186 -4.077537443905720
432 6276 -4.077537443905720
432 6598 -4.077537443905720
433 2 -2.397895272798371
433 24 -2.397895272798371
433 49 -2.397895272798371
433 73 -2.397895272798371
433 103 -1.704748092238425
433 110 -2.397895272798371
433 237 -2.397895272798371
433 350 -2.397895272798371
433 370 -2.397895272798371
433 1290 -2.397895272798371
434 2 -1.386294361119891
434 73 -1.386294361119891
434 86 -1.386294361119891
434 144 -1.386294361119891
435 8 -1.098612288668110
435 42 -1.098612288668110
435 62 -1.098612288668110
436 17 -3.496507561466480
436 26 -3.496507561466480
436 33 -3.496507561466480
436 37 -3.496507561466480
436 44 -3.496507561466480
436 54 -2.803360380906535
436 110 -1.417066019786644
436 148 -3.496507561466480
436 175 -3.496507561466480
436 218 -3.496507561466480
436 287 -3.496507561466480
436 609 -3.496507561466480
436 804 -3.496507561466480
436 972 -3.496507561466480
436 1147 -3.496507561466480
436 1385 -3.496507561466480
436 1417 -3.496507561466480
436 2093 -3.496507561466480
436 2606 -3.496507561466480
436 3174 -3.496507561466480
436 3515 -3.496507561466480
436 3726 -3.496507561466480
436 4182 -3.496507561466480
436 4841 -3.496507561466480
436 6285 -3.496507561466480
437 12 -1.098612288668110
437 29 -1.791759469228055
437 44 -1.791759469228055
437 89 -1.791759469228055
437 237 -1.791759469228055
438 8 -1.386294361119891
438 12 -0.980829253011726
438 42 -2.079441541679836
438 62 -2.079441541679836
438 218 -2.079441541679836
439 12 -1.098612288668110
439 47 -1.098612288668110
439 49 -1.098612288668110
440 3 -2.708050201102210
440 8 -2.708050201102210
440 12 -2.708050201102210
440 26 -2.708050201102210
440 42 -2.708050201102210
440 45 -2.708050201102210
440 49 -1.609437912434100
440 51 -2.708050201102210
440 69 -2.014903020542265
440 73 -2.708050201102210
440 101 -2.708050201102210
440 3482 -2.708050201102210
441 8 -1.029619417181158
441 12 -2.639057329615259
441 22 -2.639057329615259
441 34 -1.945910149055313
441 96 -1.945910149055313
441 103 -1.540445040947149
442 2 -3.663561646129646
442 8 -1.717651497074333
442 10 -3.663561646129646
442 12 -2.682732393117920
442 17 -4.762173934797756
442 22 -2.970414465569701
442 26 -4.762173934797756
442 29 -4.762173934797756
442 34 -4.762173934797756
442 37 -3.663561646129646
442 38 -4.762173934797756
442 40 -4.762173934797756
442 42 -4.069026754237811
442 44 -2.970414465569701
442 47 -4.762173934797756
442 49 -2.816263785742443
442 51 -4.762173934797756
442 56 -2.970414465569701
442 62 -4.069026754237811
442 69 -4.069026754237811
442 72 -2.970414465569701
442 73 -4.762173934797756
442 79 -4.069026754237811
442 86 -4.069026754237811
442 96 -4.762173934797756
442 101 -4.762173934797756
442 103 -4.762173934797756
442 124 -4.069026754237811
442 141 -4.762173934797756
442 154 -4.762173934797756
442 160 -4.762173934797756
442 237 -4.762173934797756
442 300 -3.663561646129646
442 318 -4.069026754237811
442 343 -4.762173934797756
442 350 -4.762173934797756
442 489 -3.375879573677866
442 926 -4.762173934797756
442 1446 -4.762173934797756
442 1578 -4.762173934797756
442 1724 -4.762173934797756
442 2726 -4.762173934797756
442 3506 -4.762173934797756
442 6110 -4.762173934797756
442 6173 -4.762173934797756
442 6395 -4.762173934797756
443 12 -0.693147180559945
443 444 -0.693147180559945
444 17 -1.945910149055313
444 73 -1.252762968495368
444 305 -1.945910149055313
444 368 -1.252762968495368
444 1165 -1.945910149055313
445 206 0.000000000000000
446 2 -3.912023005428146
446 4 -3.912023005428146
446 8 -2.302585092994045
446 10 -3.218875824868201
446 12 -2.525728644308256
446 22 -2.813410716760036
446 26 -3.912023005428146
446 34 -2.302585092994045
446 42 -3.912023005428146
446 44 -3.218875824868201
446 49 -2.813410716760036
446 62 -3.912023005428146
446 69 -3.912023005428146
446 73 -3.912023005428146
446 89 -3.912023005428146
446 103 -3.218875824868201
446 110 -3.912023005428146
446 119 -3.912023005428146
446 144 -3.912023005428146
446 206 -2.302585092994045
446 219 -3.912023005428146
446 368 -3.912023005428146
446 370 -3.218875824868201
446 447 -3.912023005428146
446 466 -3.912023005428146
446 1430 -3.912023005428146
446 4103 -3.912023005428146
447 30 -1.791759469228055
447 300 -0.693147180559945
447 905 -1.791759469228055
447 5176 -1.791759469228055
448 8 -1.609437912434100
448 12 -2.302585092994045
448 13 -2.302585092994045
448 22 -2.302585092994045
448 40 -2.302585092994045
448 44 -2.302585092994045
448 72 -2.302585092994045
448 300 -2.302585092994045
448 305 -2.302585092994045
449 8 -2.639057329615259
449 44 -2.639057329615259
449 51 -2.639057329615259
449 69 -1.945910149055313
449 101 -2.639057329615259
449 126 -2.639057329615259
449 181 -2.639057329615259
449 450 -2.639057329615259
449 539 -2.639057329615259
449 559 -2.639057329615259
449 1472 -2.639057329615259
449 2126 -2.639057329615259
449 2511 -2.639057329615259
450 2 -2.833213344056216
450 8 -2.833213344056216
450 12 -2.833213344056216
450 37 -2.140066163496271
450 42 -2.140066163496271
450 44 -2.833213344056216
450 49 -2.140066163496271
450 62 -2.833213344056216
450 79 -2.833213344056216
450 86 -2.833213344056216
450 89 -2.833213344056216
450 103 -2.833213344056216
450 300 -2.833213344056216
450 6643 -2.833213344056216
451 22 -2.708050201102210
451 452 -2.708050201102210
451 966 -2.708050201102210
451 1140 -2.708050201102210
451 1397 -2.708050201102210
451 1495 -2.708050201102210
451 1533 -2.708050201102210
451 1826 -2.708050201102210
451 1852 -2.708050201102210
451 2051 -2.708050201102210
451 2926 -2.708050201102210
451 2933 -2.708050201102210
451 3710 -2.708050201102210
451 4367 -2.708050201102210
451 6075 -2.708050201102210
452 2 -3.283414346005772
452 8 -1.437587655507441
452 12 -1.817077277212345
452 22 -2.995732273553991
452 40 -4.382026634673881
452 42 -3.283414346005772
452 44 -3.283414346005772
452 45 -2.995732273553991
452 49 -2.772588722239781
452 51 -4.382026634673881
452 62 -2.995732273553991
452 69 -3.283414346005772
452 72 -3.283414346005772
452 79 -3.283414346005772
452 96 -4.382026634673881
452 154 -4.382026634673881
452 237 -4.382026634673881
452 282 -4.382026634673881
452 286 -4.382026634673881
452 298 -4.382026634673881
452 325 -4.382026634673881
452 453 -4.382026634673881
452 457 -4.382026634673881
452 1231 -4.382026634673881
452 4147 -4.382026634673881
453 454 0.000000000000000
454 2 -2.302585092994045
454 8 -1.203972804325936
454 49 -2.302585092994045
454 69 -2.302585092994045
454 455 -2.302585092994045
454 483 -2.302585092994045
454 2438 -2.302585092994045
454 2763 -2.302585092994045
455 2 -3.191847152480281
455 3 -3.597312260588446
455 8 -1.112405610800446
455 12 -1.892564168350021
455 22 -2.904165080028501
455 38 -4.290459441148391
455 40 -3.597312260588446
455 42 -4.290459441148391
455 44 -2.904165080028501
455 49 -4.290459441148391
455 51 -4.290459441148391
455 62 -3.597312260588446
455 69 -4.290459441148391
455 73 -4.290459441148391
455 79 -2.904165080028501
455 86 -4.290459441148391
455 92 -4.290459441148391
455 101 -4.290459441148391
455 123 -4.290459441148391
455 158 -4.290459441148391
455 944 -4.290459441148391
455 1479 -4.290459441148391
455 2720 -4.290459441148391
455 3731 -4.290459441148391
455 4588 -4.290459441148391
455 5587 -4.290459441148391
456 300 -1.386294361119891
456 442 -1.386294361119891
456 947 -1.386294361119891
456 3116 -1.386294361119891
457 2 -2.397895272798371
457 8 -2.397895272798371
457 12 -1.887069649032380
457 22 -2.803360380906535
457 29 -3.496507561466480
457 40 -3.496507561466480
457 44 -2.803360380906535
457 49 -1.887069649032380
457 69 -2.397895272798371
457 79 -3.496507561466480
457 96 -3.496507561466480
457 113 -3.496507561466480
457 1120 -3.496507561466480
457 1522 -3.496507561466480
457 1551 -3.496507561466480
457 2891 -3.496507561466480
457 2935 -3.496507561466480
458 8 0.000000000000000
459 59 -1.098612288668110
459 95 -1.098612288668110
459 587 -1.098612288668110
460 30 -1.386294361119891
460 56 -1.386294361119891
460 482 -1.386294361119891
460 5016 -1.386294361119891
461 8 -0.693147180559945
461 42 -0.693147180559945
462 10 -1.945910149055313
462 21 -3.044522437723423
462 49 -3.044522437723423
462 51 -3.044522437723423
462 103 -2.351375257163478
462 206 -1.945910149055313
462 318 -3.044522437723423
462 350 -2.351375257163478
462 367 -3.044522437723423
462 488 -3.044522437723423
462 489 -2.351375257163478
462 524 -3.044522437723423
462 824 -3.044522437723423
462 5073 -3.044522437723423
463 8 -1.791759469228055
463 24 -1.791759469228055
463 40 -1.791759469228055
463 51 -1.791759469228055
463 142 -1.791759469228055
463 1501 -1.791759469228055
464 8 -0.693147180559945
464 58 -0.693147180559945
465 12 -1.945910149055313
465 84 -1.945910149055313
465 101 -1.945910149055313
465 214 -1.945910149055313
465 1978 -1.945910149055313
465 5341 -1.945910149055313
465 5944 -1.945910149055313
466 2 -3.637586159726386
466 8 -1.845826690498331
466 12 -2.538973871058276
466 29 -3.637586159726386
466 33 -2.028148247292286
466 42 -1.558144618046550
466 44 -2.944438979166441
466 84 -3.637586159726386
466 101 -3.637586159726386
466 110 -3.637586159726386
466 113 -2.944438979166441
466 142 -3.637586159726386
466 218 -3.637586159726386
466 346 -2.944438979166441
466 787 -3.637586159726386
466 1082 -2.944438979166441
467 49 0.000000000000000
468 2 -3.526360524616162
468 8 -3.526360524616162
468 12 -2.427748235948052
468 17 -3.526360524616162
468 19 -3.526360524616162
468 22 -3.526360524616162
468 44 -3.526360524616162
468 47 -3.526360524616162
468 56 -1.916922612182061
468 73 -2.427748235948052
468 86 -2.427748235948052
468 103 -2.833213344056216
468 132 -3.526360524616162
468 141 -3.526360524616162
468 290 -3.526360524616162
468 318 -2.833213344056216
468 345 -3.526360524616162
468 476 -3.526360524616162
468 489 -2.833213344056216
468 1045 -3.526360524616162
468 1372 -3.526360524616162
469 73 -1.098612288668110
469 101 -1.098612288668110
469 489 -1.098612288668110
470 8 -2.197224577336220
470 13 -2.197224577336220
470 22 -2.197224577336220
470 29 -2.197224577336220
470 79 -2.197224577336220
470 101 -1.504077396776274
470 171 -2.197224577336220
470 526 -2.197224577336220
471 12 -2.197224577336220
471 42 -2.197224577336220
471 110 -2.197224577336220
471 358 -2.197224577336220
471 472 -2.197224577336220
471 709 -2.197224577336220
471 1651 -2.197224577336220
471 2092 -2.197224577336220
471 4088 -2.197224577336220
472 8 -0.693147180559945
472 42 -1.098612288668110
472 206 -1.791759469228055
473 2 -1.945910149055313
473 44 -1.945910149055313
473 49 -1.945910149055313
473 56 -1.945910149055313
473 79 -1.945910149055313
473 86 -1.945910149055313
473 122 -1.945910149055313
474 92 0.000000000000000
475 2 -3.295836866004329
475 8 -2.602689685444384
475 12 -2.602689685444384
475 13 -3.295836866004329
475 17 -2.602689685444384
475 22 -3.295836866004329
475 42 -2.197224577336220
475 44 -3.295836866004329
475 49 -3.295836866004329
475 62 -3.295836866004329
475 69 -2.602689685444384
475 84 -3.295836866004329
475 200 -3.295836866004329
475 250 -2.602689685444384
475 276 -3.295836866004329
475 370 -3.295836866004329
475 766 -3.295836866004329
475 3221 -3.295836866004329
475 4637 -3.295836866004329
475 6268 -3.295836866004329
476 2 -4.532599493153256
476 8 -3.839452312593310
476 16 -4.532599493153256
476 42 -4.532599493153256
476 57 -2.586689344097942
476 84 -4.532599493153256
476 110 -4.532599493153256
476 138 -4.532599493153256
476 161 -3.839452312593310
476 164 -4.532599493153256
476 213 -4.532599493153256
476 222 -4.532599493153256
476 242 -4.532599493153256
476 248 -4.532599493153256
476 375 -4.532599493153256
476 385 -4.532599493153256
476 403 -3.839452312593310
476 424 -4.532599493153256
476 450 -4.532599493153256
476 465 -4.532599493153256
476 471 -3.839452312593310
476 483 -4.532599493153256
476 545 -4.532599493153256
476 554 -4.532599493153256
476 559 -4.532599493153256
476 619 -4.532599493153256
476 631 -4.532599493153256
476 761 -4.532599493153256
476 969 -4.532599493153256
476 1072 -4.532599493153256
476 1349 -4.532599493153256
476 1372 -4.532599493153256
476 1429 -4.532599493153256
476 1466 -4.532599493153256
476 1551 -3.839452312593310
476 1596 -4.532599493153256
476 1621 -4.532599493153256
476 1705 -4.532599493153256
476 1805 -4.532599493153256
476 1878 -4.532599493153256
476 1883 -4.532599493153256
476 1980 -4.532599493153256
476 1987 -4.532599493153256
476 2080 -4.532599493153256
476 2109 -4.532599493153256
476 2135 -4.532599493153256
476 2159 -4.532599493153256
476 2167 -4.532599493153256
476 2203 -4.532599493153256
476 2322 -4.532599493153256
476 2328 -4.532599493153256
476 2400 -4.532599493153256
476 2516 -4.532599493153256
476 2652 -4.532599493153256
476 2698 -4.532599493153256
476 2925 -4.532599493153256
476 3587 -4.532599493153256
476 3636 -4.532599493153256
476 3648 -4.532599493153256
476 3655 -4.532599493153256
476 3724 -4.532599493153256
476 3871 -4.532599493153256
476 3935 -4.532599493153256
476 4151 -4.532599493153256
476 4283 -4.532599493153256
476 4296 -4.532599493153256
476 4447 -4.532599493153256
476 4858 -4.532599493153256
476 4947 -4.532599493153256
476 4998 -4.532599493153256
476 5218 -4.532599493153256
476 5372 -4.532599493153256
476 5560 -4.532599493153256
476 5710 -4.532599493153256
476 5780 -4.532599493153256
476 5965 -4.532599493153256
476 6021 -4.532599493153256
476 6203 -4.532599493153256
476 6204 -4.532599493153256
476 6463 -4.532599493153256
476 6497 -4.532599493153256
476 6499 -4.532599493153256
477 8 -2.639057329615259
477 12 -2.233592221507094
477 22 -2.639057329615259
477 42 -2.233592221507094
477 44 -2.639057329615259
477 49 -1.134979932838984
477 62 -3.332204510175204
477 64 -3.332204510175204
477 69 -3.332204510175204
477 229 -3.332204510175204
477 257 -3.332204510175204
477 346 -3.332204510175204
477 4047 -3.332204510175204
478 12 -2.351375257163478
478 17 -1.098612288668110
478 33 -3.044522437723423
478 49 -1.945910149055313
478 73 -3.044522437723423
478 103 -3.044522437723423
478 237 -1.945910149055313
478 389 -3.044522437723423
478 911 -2.351375257163478
479 8 -2.302585092994045
479 44 -2.302585092994045
479 47 -2.302585092994045
479 218 -1.203972804325936
479 296 -2.302585092994045
479 2335 -2.302585092994045
479 4459 -1.609437912434100
480 12 -2.079441541679836
480 77 -2.079441541679836
480 84 -2.079441541679836
480 174 -2.079441541679836
480 373 -2.079441541679836
480 481 -2.079441541679836
480 659 -2.079441541679836
480 2876 -2.079441541679836
481 12 -2.079441541679836
481 30 -2.772588722239781
481 47 -2.772588722239781
481 51 -2.772588722239781
481 56 -1.673976433571672
481 117 -2.772588722239781
481 128 -2.772588722239781
481 237 -2.772588722239781
481 311 -2.772588722239781
481 350 -2.772588722239781
481 370 -2.079441541679836
481 3087 -2.772588722239781
482 8 -0.980829253011726
482 12 -1.163150809805681
482 37 -2.772588722239781
482 86 -2.772588722239781
482 154 -2.772588722239781
482 318 -2.772588722239781
482 384 -2.772588722239781
483 2 -3.012261575505202
483 8 -2.164963715117998
483 12 -4.110873864173311
483 22 -3.417726683613366
483 37 -4.110873864173311
483 38 -4.110873864173311
483 42 -2.724579503053421
483 44 -3.012261575505202
483 49 -3.417726683613366
483 51 -3.417726683613366
483 54 -2.724579503053421
483 69 -3.417726683613366
483 72 -3.417726683613366
483 79 -3.417726683613366
483 84 -4.110873864173311
483 90 -4.110873864173311
483 110 -3.417726683613366
483 113 -4.110873864173311
483 124 -4.110873864173311
483 138 -4.110873864173311
483 141 -4.110873864173311
483 159 -4.110873864173311
483 209 -4.110873864173311
483 229 -4.110873864173311
483 257 -4.110873864173311
483 333 -4.110873864173311
483 334 -4.110873864173311
483 490 -4.110873864173311
483 493 -3.417726683613366
483 541 -4.110873864173311
483 797 -4.110873864173311
483 865 -4.110873864173311
483 1082 -4.110873864173311
483 2032 -4.110873864173311
483 2194 -4.110873864173311
483 2320 -4.110873864173311
483 3488 -4.110873864173311
484 12 -0.693147180559945
484 44 -0.693147180559945
485 2 -1.098612288668110
485 79 -1.098612288668110
485 876 -1.098612288668110
486 8 0.000000000000000
487 51 -0.693147180559945
487 56 -0.693147180559945
488 2 -3.344038967822207
488 6 -4.442651256490317
488 8 -1.734601055388106
488 9 -4.442651256490317
488 12 -2.496741107435003
488 13 -3.056356895370426
488 22 -3.749504075930371
488 44 -2.833213344056216
488 47 -4.442651256490317
488 49 -2.833213344056216
488 51 -3.749504075930371
488 56 -3.749504075930371
488 67 -4.442651256490317
488 69 -3.749504075930371
488 77 -4.442651256490317
488 79 -4.442651256490317
488 85 -4.442651256490317
488 86 -4.442651256490317
488 87 -4.442651256490317
488 110 -4.442651256490317
488 136 -4.442651256490317
488 197 -4.442651256490317
488 218 -3.749504075930371
488 286 -4.442651256490317
488 296 -4.442651256490317
488 384 -4.442651256490317
488 404 -4.442651256490317
488 476 -4.442651256490317
488 479 -4.442651256490317
488 616 -3.749504075930371
488 1036 -4.442651256490317
488 1045 -4.442651256490317
488 1238 -4.442651256490317
488 1428 -4.442651256490317
488 1446 -4.442651256490317
488 1460 -4.442651256490317
488 1767 -4.442651256490317
488 2253 -4.442651256490317
488 2344 -4.442651256490317
488 2391 -4.442651256490317
